courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
100002543,0,2100076120025827096,121.638162,39.135268,PICKUP,1583122990
100002652,0,2100076114475452049,121.565705,39.150086,PICKUP,1583120470
100006950,2,2100076141339641107,121.411789,39.033671,PICKUP,1583135751
100023698,0,2100076121173722274,121.374279,39.135567,DELIVERY,1583121402
100076651,0,2100076114726356106,121.41666,39.175574,PICKUP,1583119869
100076651,4,2100076145731011720,121.41308,39.202453,PICKUP,1583136205
100076651,6,2100076159818401208,121.416644,39.175645,PICKUP,1583144830
10007871,0,2100076113216276281,121.631225,39.142331,DELIVERY,1583120612
100084429,2,2100076148568884553,121.255722,38.952831,PICKUP,1583139420
100122337,0,2100076112387835279,121.593454,39.204111,PICKUP,1583119823
100122337,2,2100076163964339975,121.58136,39.21173,PICKUP,1583147627
100149376,2,2100076122731152430,121.457202,39.218749,PICKUP,1583122886
100166169,0,2100076104806434682,121.551293,39.151708,PICKUP,1583114670
100177162,0,2100076108917606355,121.605449,39.118419,PICKUP,1583118853
10037225,2,2100076119741990736,121.521112,39.167545,PICKUP,1583121325
10038649,0,2100076115454068727,121.356832,39.289585,DELIVERY,1583121470
10038649,2,2100076154666158071,121.340471,39.295182,PICKUP,1583141806
10039046,0,2100076100336420576,121.425201,39.252415,PICKUP,1583109601
10043299,0,2100076113658742573,121.594538,39.215564,PICKUP,1583120173
10043801,0,2100076109946554240,121.449325,39.115309,DELIVERY,1583119930
10043801,6,2100076170850698814,121.440685,39.117304,PICKUP,1583153704
10063068,0,2100076120731354520,121.494838,39.068115,DELIVERY,1583122978
10075573,0,2100076113986094640,121.554151,39.139112,PICKUP,1583120363
10081729,0,2100076099152316283,121.532416,39.153693,PICKUP,1583111641
10081729,2,2100076117392721787,121.5192,39.151162,PICKUP,1583120833
10081729,4,2100076157175792929,121.536737,39.160385,PICKUP,1583144770
10083928,0,2100076100406609613,121.595218,39.207286,PICKUP,1583111496
10094682,0,2100076115084150640,121.526174,39.132915,PICKUP,1583119631
10097074,0,2100076138013165004,121.303492,39.136717,PICKUP,1583131194
10097074,2,2100076144877570009,121.304509,39.12889,PICKUP,1583136678
10100267,2,2100076128999311351,121.415467,39.270677,DELIVERY,1583125976
10100267,4,2100076166062245558,121.415455,39.270631,PICKUP,1583148360
101009538,0,2100076111770813731,121.799423,39.145361,PICKUP,1583119298
101009538,2,2100076133342676259,121.786504,39.14696,PICKUP,1583127056
101009538,4,2100076154634831795,121.799501,39.145131,PICKUP,1583141620
10102738,0,2100076109274252773,121.223566,39.129365,PICKUP,1583119339
10102738,2,2100076147789629096,121.219778,39.149741,DELIVERY,1583140267
10102738,4,2100076168213759121,121.223008,39.129355,PICKUP,1583150028
10112683,0,2100076117059273738,121.448333,38.990838,PICKUP,1583121308
10112683,4,2100076157799532488,121.44407,38.989419,PICKUP,1583144091
101147106,4,2100076117598144254,121.422198,39.19339,DELIVERY,1583121587
101166018,4,2100076170328704805,121.471913,39.063663,PICKUP,1583151000
10117471,0,2100076111496479880,121.407969,39.19015,PICKUP,1583119377
101180274,0,2100076096924321637,121.405726,39.084272,PICKUP,1583119122
10120267,0,2100076103568361084,121.428634,39.197824,PICKUP,1583115187
10123801,0,2100076106541958564,121.473978,39.107009,PICKUP,1583117072
10123801,4,2100076142000047270,121.466862,39.095096,DELIVERY,1583136138
101266154,0,2100076105703326913,121.377977,39.122925,DELIVERY,1583118783
10126649,2,2100076104228865462,121.687635,39.14086,PICKUP,1583114312
10126649,4,2100076125783000502,121.687689,39.140817,PICKUP,1583123998
10127695,0,2100076101117052664,121.601709,39.137003,PICKUP,1583114315
10135747,0,2100076117109802135,121.531185,39.142886,PICKUP,1583121652
101364834,0,2100076121332287113,121.400995,39.177432,PICKUP,1583123294
10138087,0,2100076097137411708,121.429767,39.198966,DELIVERY,1583114814
101419538,0,2100076098684224612,121.643197,39.142887,PICKUP,1583109325
101419538,2,2100076119964222764,121.617049,39.133698,PICKUP,1583121335
101419538,6,2100076163427567342,121.612356,39.133671,PICKUP,1583145626
