courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
100002543,3,2100076044413207877,121.634234,39.143629,PICKUP,1583038435
100006950,3,2100076086414968050,121.412991,39.032091,PICKUP,1583061648
100023698,1,2100076040734213701,121.373068,39.136881,PICKUP,1583036311
100076651,1,2100076043962910416,121.408126,39.190654,PICKUP,1583037189
100076651,3,2100076077316114337,121.408073,39.190631,PICKUP,1583057400
100100915,1,2100076082596775614,121.530753,39.279608,PICKUP,1583061196
10012191,1,2100076028741027588,121.539948,39.201417,PICKUP,1583031219
100134611,1,2100076045503530997,121.374698,39.303826,PICKUP,1583036938
100134611,3,2100076084647167991,121.351234,39.301656,PICKUP,1583060332
100166169,1,2100076042419799969,121.574314,39.15929,PICKUP,1583037246
100166169,5,2100076063454823703,121.551946,39.151671,PICKUP,1583051052
100177162,1,2100076043253810841,121.610524,39.118643,PICKUP,1583037207
100177162,5,2100076082173642707,121.59272,39.118313,PICKUP,1583058714
10021791,1,2100076037405508654,121.452424,39.210806,PICKUP,1583036117
10021791,3,2100076069618582844,121.444999,39.209043,PICKUP,1583054740
10037225,1,2100076032034112522,121.539167,39.152225,PICKUP,1583032235
10038649,1,2100076039129400859,121.361518,39.292291,PICKUP,1583035416
10038649,5,2100076081015195639,121.350001,39.289193,PICKUP,1583059416
10038653,1,2100076031152556023,121.36019,39.285505,PICKUP,1583032211
10038661,3,2100076060585362577,121.421108,39.243183,PICKUP,1583047776
100429202,1,2100076043147183608,121.373941,39.135504,PICKUP,1583037874
100429202,3,2100076042541172690,121.371459,39.135486,DELIVERY,1583054318
100532962,1,2100076025595693016,121.42298,39.151518,PICKUP,1583030754
10063192,1,2100076016214771072,121.484429,39.06228,DELIVERY,1583035056
100681730,1,2100076074315286415,121.591063,39.137378,PICKUP,1583055426
10081729,1,2100076039295371131,121.541573,39.151385,PICKUP,1583035385
10094682,1,2100076080151135731,121.549489,39.126727,PICKUP,1583060378
10097074,7,2100076091946403088,121.305376,39.135792,PICKUP,1583068843
10100267,1,2100076043168875671,121.411146,39.260549,PICKUP,1583035979
101009538,3,2100076076992103534,121.801451,39.13963,PICKUP,1583056051
101009538,5,2100076090388973232,121.786156,39.146976,PICKUP,1583063456
10102738,1,2100076037352851239,121.223651,39.129049,DELIVERY,1583035510
10102738,3,2100076052164445991,121.223662,39.129333,PICKUP,1583042837
10102738,5,2100076063765136402,121.234131,39.111802,PICKUP,1583051093
10102738,7,2100076076767413708,121.22348,39.129274,PICKUP,1583056999
10112683,3,2100076062748411341,121.442338,38.981149,PICKUP,1583049980
101180274,1,2100076038232409541,121.402967,39.086111,PICKUP,1583034992
10120267,1,2100076034145518912,121.427649,39.196799,PICKUP,1583033027
10123801,1,2100076043842552999,121.476274,39.12534,PICKUP,1583036324
101266154,1,2100076068129408537,121.382984,39.125015,PICKUP,1583051680
10126649,1,2100076026029573558,121.687456,39.140797,DELIVERY,1583031839
101269810,1,2100076035918366588,121.531372,39.114978,DELIVERY,1583035447
101297074,1,2100076027369555903,121.704666,39.143102,PICKUP,1583031860
101297074,3,2100076046031717702,121.712716,39.143047,PICKUP,1583039832
101297074,5,2100076065883063971,121.712515,39.143074,PICKUP,1583051819
101297074,7,2100076080106374193,121.712959,39.142033,PICKUP,1583059138
