courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
100002543,0,2100076281373656834,121.640556,39.142024,PICKUP,1583293469
100002652,0,2100076289792771986,121.56563,39.150311,PICKUP,1583295341
100002652,4,2100076336957752781,121.563489,39.152372,PICKUP,1583320875
100023698,0,2100076274470520389,121.374013,39.135565,DELIVERY,1583291909
100023698,2,2100076297848325541,121.374266,39.135489,DELIVERY,1583298028
100069773,2,2100076322546124449,121.555296,39.177476,PICKUP,1583315668
100069773,4,2100076340048823689,121.563567,39.184024,PICKUP,1583321155
10007871,0,2100076291476456588,121.630705,39.142443,PICKUP,1583296399
100084429,4,2100076328335574244,121.249054,38.954223,PICKUP,1583316909
10012508,2,2100076289189054362,121.525847,39.292066,PICKUP,1583295525
100149376,0,2100076269520192997,121.446395,39.210748,PICKUP,1583289305
100166169,0,2100076276531889738,121.5487,39.157852,PICKUP,1583292419
100166169,2,2100076317122167994,121.568513,39.153696,PICKUP,1583312911
100166169,4,2100076332179654279,121.580283,39.147767,PICKUP,1583318835
100166267,0,2100076270761182267,121.418806,39.198007,PICKUP,1583292433
100170616,0,2100076285082011324,121.472617,39.199445,PICKUP,1583294473
100170616,2,2100076315633485228,121.4791,39.19977,PICKUP,1583311060
100177162,0,2100076277462238912,121.60668,39.118479,PICKUP,1583292055
100177162,4,2100076331013310154,121.60492,39.117973,PICKUP,1583318620
10021791,2,2100076285492626581,121.445877,39.218991,DELIVERY,1583294106
100240426,0,2100076288528319751,121.445346,38.948719,PICKUP,1583294664
10038661,0,2100076278731638510,121.420701,39.2512,PICKUP,1583292578
10039046,0,2100076264478278807,121.425201,39.252415,PICKUP,1583282662
10039046,2,2100076290839086470,121.424666,39.246848,PICKUP,1583296410
100429202,4,2100076329680275133,121.366366,39.135529,PICKUP,1583317782
10043299,0,2100076293414455164,121.594481,39.215406,DELIVERY,1583297262
10043299,2,2100076286716610521,121.582726,39.215876,DELIVERY,1583301142
10043801,0,2100076281429395323,121.44883,39.115431,PICKUP,1583293106
10043801,2,2100076313735300840,121.449191,39.115497,PICKUP,1583310015
10043801,6,2100076345106794141,121.460339,39.131832,PICKUP,1583328125
10063068,0,2100076280597316877,121.487781,39.06854,PICKUP,1583292777
10063192,0,2100076284407153814,121.480617,39.068492,PICKUP,1583293588
100681730,0,2100076278762014023,121.597064,39.133471,PICKUP,1583293929
10075573,0,2100076281445483992,121.541775,39.133056,PICKUP,1583292327
10081729,0,2100076268506088740,121.532167,39.153424,PICKUP,1583288226
10081729,2,2100076287871976971,121.533958,39.165864,PICKUP,1583294728
10083928,0,2100076263613072919,121.595411,39.207263,PICKUP,1583282111
10083928,6,2100076302525925105,121.594691,39.207154,DELIVERY,1583301132
10100267,0,2100076278924248609,121.417987,39.260477,PICKUP,1583292659
10102738,0,2100076280388191250,121.223571,39.129312,PICKUP,1583292486
10102738,2,2100076305978656366,121.235921,39.122562,PICKUP,1583302549
101147106,2,2100076304023619433,121.438629,39.186378,DELIVERY,1583301835
101147106,6,2100076334290569194,121.428634,39.183585,PICKUP,1583319521
101166018,0,2100076272804333388,121.484677,39.070883,PICKUP,1583291826
101180274,0,2100076265834841337,121.407327,39.079705,PICKUP,1583285343
10120267,6,2100076339474302588,121.428071,39.197909,PICKUP,1583321918
10123801,0,2100076283678295179,121.478198,39.071418,PICKUP,1583292834
101266154,0,2100076285236216955,121.380591,39.130802,PICKUP,1583295010
10126649,0,2100076263748404662,121.687367,39.140674,PICKUP,1583280554
10126649,2,2100076268870206902,121.687476,39.140702,DELIVERY,1583289884
10126649,4,2100076297544107446,121.687787,39.14082,PICKUP,1583298263
